Time iter	q1	qdot1	qddot1	q2	qdot2	qddot2	
0	0.0	0.0	0.0	0.0	0.0	0.0	
0	1.590376769093815e-05	0.029819564420509006	53.67521595691615	-7.2726779994700425e-06	-0.013636271249006317	-24.545288248211346	
1	7.15455296969578e-05	0.08047265222487954	53.60290687802554	-3.272215514478215e-05	-0.03680875264825511	-24.528764744899842	
2	0.00017878521010683486	0.13401251819076984	53.482202328292956	-8.178602115211168e-05	-0.06132048223272814	-24.496449105800384	
3	0.00033949262319244426	0.18741059844223146	53.31871213502323	-0.00015534076098337195	-0.08579141654156949	-24.447290907364142	
4	0.0005535055120583065	0.2406257185406709	53.11589744984539	-0.0002533372994153855	-0.11020499989699628	-24.38170149403321	
5	0.0008206214236974783	0.29361879949691605	52.874546292847036	-0.00037571026731581105	-0.13454516269291406	-24.300372896092295	
6	0.0011405988018942173	0.34635082185149024	52.59386808825602	-0.0005223785177541462	-0.15879641986737436	-24.203831737360602	
7	0.0015131565758852554	0.39878182133125345	52.27263677250976	-0.0006932455557166388	-0.18294357955344612	-24.092167929167434	
8	0.0019379731929826073	0.4508707955100473	51.90992097224635	-0.0008881996352382181	-0.20697135381860576	-23.96509295313407	
9	0.002414685824041906	0.5025761638048316	51.50545457278823	-0.0011071135376022067	-0.23086409804610258	-23.82215774938362	
10	0.002942890125500449	0.5538564391996613	51.059685412517005	-0.0013498442003891961	-0.2546057696113464	-23.662989097556835	
11	0.003522140631588386	0.6046708318109653	50.57358145430621	-0.001616232399455591	-0.27818007767173863	-23.487446365477883	
12	0.004151951621361846	0.6549796039973321	50.0483143761941	-0.0019061026243287528	-0.30157072621250075	-23.295656007781457	
13	0.004831798186966912	0.7047441197244716	49.484950100084546	-0.002219263183502565	-0.32476163714789813	-23.087935841720483	
14	0.005561117228545114	0.7539266443372238	48.88424779527511	-0.002555506479413395	-0.34773707082196215	-22.864659923332663	
15	0.006339308192469148	0.8024900236810469	48.24661435218059	-0.002914609338934612	-0.3704816174599052	-22.62612841779251	
16	0.007165733505043608	0.8503973877832695	47.57220055794656	-0.0032963332871633194	-0.39298009008388657	-22.37249483837829	
17	0.008039718779524785	0.897611988164093	46.861078859701685	-0.0037004247004528393	-0.41521738605475156	-22.10377351891285	
18	0.008960552948711792	0.9440972100461692	46.113424130151216	-0.004126614843700005	-0.43717838999628217	-21.81991614767827	
19	0.009927488481166627	0.9898167297107519	45.329630619172725	-0.004574619857082202	-0.45884796729933747	-21.520920490233365	
20	0.01093974178573394	1.034734738511979	44.51033199577275	-0.005044140786003319	-0.48021105694700844	-21.206925407876525	
21	0.011996493825467271	1.0788161427730665	43.65633221099914	-0.005534863736662912	-0.5012528320603109	-20.8782553694075	
22	0.013096890884010443	1.122026672267382	42.76848734249115	-0.006046460196006523	-0.5219588714695534	-20.535399637263474	
23	0.014240045383626934	1.164332875773959	41.84759195099488	-0.00657858749787676	-0.5423152837759173	-20.1789368684298	
24	0.015425036656616795	1.2057020303713701	40.894315175394276	-0.0071308893693089286	-0.5623087454933495	-19.809435319750758	
25	0.01665091161403427	1.246102023214097	39.90920729903221	-0.007702996469246177	-0.5819264477320747	-19.4273656190366	
26	0.01791668531632471	1.2855012700191843	38.892767622295494	-0.008294526842602396	-0.6011559784139636	-19.033055762099565	
27	0.019221341503701632	1.3238687138679257	37.84554086222426	-0.008905086249351893	-0.6199851873169072	-18.62670042992494	
28	0.020563833169060953	1.36117391144235	36.768200268176955	-0.009534268375881574	-0.6384020828538123	-18.208416089271534	
29	0.021943083244912624	1.3973871768222934	35.661583409951646	-0.010181654976130796	-0.6563947932328799	-17.778317376838963	
